"Reference","Value","Footprint","Qty"
"5V In1","5V IN","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"5V Out1","5V OUT","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"6V1","6V IN","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"A1","RaspberryPi_Pico","Module_RaspberryPi_Pico:RaspberryPi_Pico_Common","1"
"C1,C2","0.47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2"
"Ctrl1,Ctrl2","7690 Ctrl","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","2"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"Enc1,Enc2","Encoder","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","2"
"J1,J2","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2"
"J3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"Power1,Power2","7690 Power","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","2"
"R1,R2","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"R3,R5,R7,R9","1K","PCM_Resistor_THT_AKL:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","4"
"R4,R6,R8,R10","2K2","PCM_Resistor_THT_AKL:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","4"
"Servo1,Servo2","Servo","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","2"
